,RT_SubSet,Concert,Last_RT_created_at,Last_RT_id,Last_RT_url,OriTwt_id,language,LastRT_user_followers_count,Last_RT_user_friends_count,Last_RT_user_statuses_count,Last_RT_user_favorites_count,Ori_Twt_user_friends_count,Ori_Twt_user_statuses_count,Ori_Twt_user_followers_count,Last_RT_retweet_count,Last_RT_favorite_count,Last_RT_reply_count,Shout,Tweet Length,Tweet link/media,Lost,Unrelated,Affection,Intensifiers,Self,Members,recording,Stills,Production,Music,Commentary,Army,Anticipation,Fanwork,Information,Stream,Spam,Commercial
57,Top200RTd,PTD_ON1,2021-10-24 12:58:53+00:00,1635080333000000000,https://twitter.com/anyuser/status/1452258292726525952,1452232223097245696,en,302,581,13045,16688,2093,8236,132705,9515,28792,67,False,54,True,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
58,Top200RTd,PTD_ON1,2021-10-24 11:48:40+00:00,1635076120000000000,https://twitter.com/anyuser/status/1452240621960417281,1452201211344658432,en,1111,4951,63400,39238,1802,86366,245911,9496,2141,1710,False,93,False,,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
59,Top200RTd,PTD_ON1,2021-10-24 12:34:58+00:00,1635078898000000000,https://twitter.com/anyuser/status/1452252275313938437,1452229947427262464,tl,1495,2567,28133,44438,40,3111,377804,9273,21204,28,False,68,True,,,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
60,Top200RTd,PTD_ON1,2021-10-24 12:13:31+00:00,1635077611000000000,https://twitter.com/anyuser/status/1452246874786836489,1452217773149536256,in,73,327,149706,34133,81,5014,171051,9251,20881,24,False,56,True,,,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
61,Top200RTd,PTD_ON1,2021-10-24 12:27:12+00:00,1635078432000000000,https://twitter.com/anyuser/status/1452250319161810946,1452228379848187904,ko,542,1111,93971,235921,156,1473,35013,9080,18700,385,False,176,True,,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
62,Top200RTd,PTD_ON1,2021-10-24 12:51:19+00:00,1635079879000000000,https://twitter.com/anyuser/status/1452256387824701441,1452236398900174848,in,67,3200,13812,23032,49,15614,566570,9027,20640,38,False,61,True,,,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
63,Top200RTd,PTD_ON1,2021-10-24 12:44:10+00:00,1635079450000000000,https://twitter.com/anyuser/status/1452254590229827585,1452215551502159872,ko,22,143,48321,27405,233,42362,268198,9011,20663,187,False,50,True,,,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
64,Top200RTd,PTD_ON1,2021-10-24 12:57:08+00:00,1635080228000000000,https://twitter.com/anyuser/status/1452257854732345348,1452237035947925504,tl,7,20,774,738,336,30217,553792,8934,24709,46,False,63,True,,,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
65,Top200RTd,PTD_ON1,2021-10-24 12:58:01+00:00,1635080281000000000,https://twitter.com/anyuser/status/1452258073859563522,1452227811079593984,en,701,2807,45855,169094,135,30935,1825462,8795,28671,85,False,57,True,,,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
66,Top200RTd,PTD_ON1,2021-10-24 12:57:11+00:00,1635080231000000000,https://twitter.com/anyuser/status/1452257866568585222,1452225609007046656,en,2205,902,150035,305858,81,5019,171224,8781,22277,38,False,52,True,,,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
